booking_id,status
1,cancelled
2,complete
3,complete
4,complete
5,complete
6,complete
7,complete
8,complete
9,cancelled
10,complete
11,complete
12,complete
13,complete
14,complete
15,complete
16,complete
17,cancelled
18,complete
19,cancelled
20,complete
21,complete
22,complete
23,complete
24,complete
25,complete
26,cancelled
27,complete
28,cancelled
29,complete
30,complete
31,complete
32,complete
33,complete
34,complete
35,complete
36,complete
37,complete
38,complete
39,complete
40,complete
41,complete
42,complete
43,complete
44,complete
45,complete
46,complete
47,complete
48,complete
49,complete
50,cancelled
51,complete
52,complete
53,complete
54,complete
55,complete
56,complete
57,complete
58,cancelled
59,complete
60,complete
61,complete
62,complete
63,complete
64,cancelled
65,complete
66,complete
67,complete
68,cancelled
69,complete
70,complete
71,complete
72,complete
73,cancelled
74,complete
75,complete
76,cancelled
77,complete
78,complete
79,complete
80,complete
81,complete
82,complete
83,complete
84,complete
85,complete
86,cancelled
87,complete
88,complete
89,cancelled
90,complete
91,complete
92,complete
93,complete
94,complete
95,complete
96,complete
97,complete
98,complete
99,complete
100,complete
101,complete
102,complete
103,complete
104,complete
105,complete
106,complete
107,complete
108,complete
109,complete
110,complete
111,complete
112,complete
113,complete
114,cancelled
115,complete
116,complete
117,complete
118,complete
119,complete
120,complete
121,complete
122,complete
123,complete
124,complete
125,complete
126,complete
127,complete
128,complete
129,complete
130,complete
131,complete
132,complete
133,complete
134,complete
135,complete
136,complete
137,complete
138,complete
139,cancelled
140,complete
141,complete
142,complete
143,complete
144,complete
145,complete
146,complete
147,complete
148,complete
149,complete
150,complete
151,complete
152,complete
153,complete
154,complete
155,complete
156,complete
157,complete
158,complete
159,complete
160,complete
161,complete
162,complete
163,complete
164,cancelled
165,complete
166,complete
167,complete
168,complete
169,complete
170,complete
171,cancelled
172,complete
173,cancelled
174,complete
175,cancelled
176,complete
177,cancelled
178,complete
179,complete
180,cancelled
181,complete
182,complete
183,complete
184,complete
185,complete
186,cancelled
187,cancelled
188,complete
189,complete
190,complete
191,complete
192,complete
193,complete
194,cancelled
195,complete
196,complete
197,complete
198,complete
199,complete
200,complete
201,complete
202,complete
203,complete
204,complete
205,complete
206,complete
207,cancelled
208,complete
209,complete
210,complete
211,complete
212,complete
213,complete
214,complete
215,complete
216,complete
217,complete
218,complete
219,complete
220,complete
221,complete
222,complete
223,complete
224,complete
225,complete
226,complete
227,complete
228,cancelled
229,complete
230,cancelled
231,complete
232,cancelled
233,cancelled
234,complete
235,complete
236,complete
237,complete
238,complete
239,complete
240,complete
241,cancelled
242,cancelled
243,cancelled
244,complete
245,complete
246,complete
247,complete
248,complete
249,complete
250,complete
251,complete
252,cancelled
253,complete
254,complete
255,complete
256,cancelled
257,complete
258,complete
259,complete
260,complete
261,complete
262,complete
263,complete
264,complete
265,complete
266,complete
267,complete
268,complete
269,complete
270,cancelled
271,complete
272,complete
273,cancelled
274,complete
275,cancelled
276,cancelled
277,complete
278,cancelled
279,complete
280,complete
281,cancelled
282,complete
283,cancelled
284,complete
285,complete
286,complete
287,cancelled
288,cancelled
289,complete
290,complete
291,complete
292,complete
293,complete
294,complete
295,cancelled
296,complete
297,complete
298,complete
299,complete
300,cancelled
301,complete
302,complete
303,complete
304,complete
305,cancelled
306,complete
307,complete
308,complete
309,complete
310,cancelled
311,complete
312,complete
313,complete
314,complete
315,complete
316,cancelled
317,cancelled
318,complete
319,complete
320,cancelled
321,complete
322,complete
323,cancelled
324,cancelled
325,complete
326,complete
327,cancelled
328,complete
329,complete
330,complete
331,complete
332,cancelled
333,cancelled
334,cancelled
335,complete
336,complete
337,complete
338,complete
339,complete
340,cancelled
341,cancelled
342,complete
343,complete
344,cancelled
345,cancelled
346,complete
347,complete
348,cancelled
349,cancelled
350,complete
351,cancelled
352,cancelled
353,cancelled
354,cancelled
355,cancelled
356,complete
357,complete
358,complete
359,cancelled
360,cancelled
361,complete
362,complete
363,complete
364,complete
365,cancelled
366,complete
367,cancelled
368,cancelled
369,cancelled
370,cancelled
371,cancelled
372,cancelled
373,complete
374,cancelled
375,complete
376,complete
377,cancelled
378,complete
379,cancelled
380,cancelled
381,complete
382,cancelled
383,cancelled
384,cancelled
385,cancelled
386,cancelled
387,complete
388,complete
389,cancelled
390,complete
391,complete
392,complete
393,complete
394,complete
395,complete
396,complete
397,cancelled
398,complete
399,complete
400,complete
401,cancelled
402,complete
403,complete
404,complete
405,complete
406,cancelled
407,complete
408,complete
409,cancelled
410,cancelled
411,complete
412,cancelled
413,complete
414,cancelled
415,complete
416,cancelled
417,complete
418,cancelled
419,complete
420,cancelled
421,complete
422,complete
423,complete
424,complete
425,complete
426,complete
427,cancelled
428,cancelled
429,complete
430,complete
431,cancelled
432,complete
433,complete
434,complete
435,complete
436,complete
437,complete
438,complete
439,cancelled
440,complete
441,complete
442,complete
443,complete
444,cancelled
