booking_id,1 Time or Recurring
45281,FALSE
45974,FALSE
58789,FALSE
67324,FALSE
24965,FALSE
66157,FALSE
29022,FALSE
59634,FALSE
57861,FALSE
24806,FALSE
65388,FALSE
48069,TRUE
41240,FALSE
59310,FALSE
29027,FALSE
62317,FALSE
42499,TRUE
72626,TRUE
31510,FALSE
60907,FALSE
61267,FALSE
63648,FALSE
32351,TRUE
67118,FALSE
25603,FALSE
33837,TRUE
33971,TRUE
33972,TRUE
33973,TRUE
33974,TRUE
33975,TRUE
33976,TRUE
70874,FALSE
70875,FALSE
70876,FALSE
70877,FALSE
70878,FALSE
70879,FALSE
41121,FALSE
26991,TRUE
50793,FALSE
32348,FALSE
64919,TRUE
36231,TRUE
65310,TRUE
36989,FALSE
55264,FALSE
32775,TRUE
33387,FALSE
47390,FALSE
47391,FALSE
39970,TRUE
59177,FALSE
38985,FALSE
39773,FALSE
34513,TRUE
71932,TRUE
28418,FALSE
43537,TRUE
44736,FALSE
59874,FALSE
51243,FALSE
64176,FALSE
35730,FALSE
63646,FALSE
53609,FALSE
35932,FALSE
72154,FALSE
45909,TRUE
70053,TRUE
35494,TRUE
60226,TRUE
43327,TRUE
32419,FALSE
32482,FALSE
32655,TRUE
49257,FALSE
42503,TRUE
28103,FALSE
34238,FALSE
40752,FALSE
48966,FALSE
49152,FALSE
58026,FALSE
25601,FALSE
70870,FALSE
30531,FALSE
33301,TRUE
28942,FALSE
55272,TRUE
61736,TRUE
40164,FALSE
63143,TRUE
55158,FALSE
38243,TRUE
39808,FALSE
63554,FALSE
27164,FALSE
27306,FALSE
46830,TRUE
39798,TRUE
51362,FALSE
40737,TRUE
74513,FALSE
45780,FALSE
67132,TRUE
54165,FALSE
54382,FALSE
52037,FALSE
40856,FALSE
60308,TRUE
62505,FALSE
48524,TRUE
53893,TRUE
54463,FALSE
29121,TRUE
25320,FALSE
29505,FALSE
51273,TRUE
69141,FALSE
36785,FALSE
72722,TRUE
29301,FALSE
41606,FALSE
64197,TRUE
61815,FALSE
45282,FALSE
51030,TRUE
63472,FALSE
68367,FALSE
27081,TRUE
40516,FALSE
25819,FALSE
51918,TRUE
59843,FALSE
63573,FALSE
63869,TRUE
46404,FALSE
51583,FALSE
47566,TRUE
39350,FALSE
57735,FALSE
29008,TRUE
24683,TRUE
42299,TRUE
42311,FALSE
42313,FALSE
68552,TRUE
65693,TRUE
39698,FALSE
39968,FALSE
56297,FALSE
56398,FALSE
56489,FALSE
56490,FALSE
56491,FALSE
56680,FALSE
57227,FALSE
57542,FALSE
57549,FALSE
57554,FALSE
71500,TRUE
43338,FALSE
58970,FALSE
68104,TRUE
63058,TRUE
52310,FALSE
27336,FALSE
48541,FALSE
33011,FALSE
56962,FALSE
44169,FALSE
51003,FALSE
51351,FALSE
52317,FALSE
63791,TRUE
41918,FALSE
32714,FALSE
61610,FALSE
74504,FALSE
50896,FALSE
36296,FALSE
58845,FALSE
29683,FALSE
49889,TRUE
36315,FALSE
41348,FALSE
59727,FALSE
66286,FALSE
74797,TRUE
31827,FALSE
45393,TRUE
26766,TRUE
31444,FALSE
24688,FALSE
55165,TRUE
26636,FALSE
35040,FALSE
44716,TRUE
55882,FALSE
72518,TRUE
61370,FALSE
67027,FALSE
44213,TRUE
31998,FALSE
32278,FALSE
53559,TRUE
63382,TRUE
61131,TRUE
28543,FALSE
51810,FALSE
45271,TRUE
45287,TRUE
32780,TRUE
39801,TRUE
55872,FALSE
51694,FALSE
66401,FALSE
39142,FALSE
67516,FALSE
67517,FALSE
67518,FALSE
67519,FALSE
69015,FALSE
70237,FALSE
70387,FALSE
70389,FALSE
73582,FALSE
74330,TRUE
61277,FALSE
25968,FALSE
73491,TRUE
39318,TRUE
48826,TRUE
48827,TRUE
52865,FALSE
25109,FALSE
27320,FALSE
46312,FALSE
51276,FALSE
53359,FALSE
68103,FALSE
69083,FALSE
73249,FALSE
42097,TRUE
25044,FALSE
37600,FALSE
45752,TRUE
48261,FALSE
48262,FALSE
48263,FALSE
48265,FALSE
50020,FALSE
50021,FALSE
50022,FALSE
50023,FALSE
37130,FALSE
40377,TRUE
42106,FALSE
46324,FALSE
70393,TRUE
71087,FALSE
36242,TRUE
37313,TRUE
37372,TRUE
69369,FALSE
42910,TRUE
46328,TRUE
44217,FALSE
31954,FALSE
61689,FALSE
44967,TRUE
36660,FALSE
59807,TRUE
41986,FALSE
55486,FALSE
25742,TRUE
43985,TRUE
74255,FALSE
63168,FALSE
63704,FALSE
63705,FALSE
65746,FALSE
63115,TRUE
62152,TRUE
27008,TRUE
63451,FALSE
48631,FALSE
48756,FALSE
71253,FALSE
57938,TRUE
37687,FALSE
43119,FALSE
65817,FALSE
40268,TRUE
49388,FALSE
41225,FALSE
28654,TRUE
45399,FALSE
49477,TRUE
55798,FALSE
54053,FALSE
55599,FALSE
55600,TRUE
74229,TRUE
67092,TRUE
39341,FALSE
72247,TRUE
72362,TRUE
45671,FALSE
38596,TRUE
37464,TRUE
60217,FALSE
74298,FALSE
50688,TRUE
40276,FALSE
68042,TRUE
40279,TRUE
40280,TRUE
57842,FALSE
29193,FALSE
52267,FALSE
74525,TRUE
37053,FALSE
25735,TRUE
56272,FALSE
36659,FALSE
37120,FALSE
43642,TRUE
61916,TRUE
65741,TRUE
59705,TRUE
61480,TRUE
68469,TRUE
72641,TRUE
27887,TRUE
42511,FALSE
40454,FALSE
62482,TRUE
